Identifier	InChI.Key	logFC_HL	logFC_LH	logFC_LL	logRSDfc_HL	logRSDfc_LH	logRSDfc_LL	CohenD_HL_effect	Mag_HL_effect	CI_inf_HL_effect	CI_sup_HL_effect	CohenD_LH_effect	Mag_LH_effect	CI_inf_LH_effect	CI_sup_LH_effect	CohenD_LL_effect	Mag_LL_effect	CI_inf_LL_effect	CI_sup_LL_effect
4	NBIIXXVUZAFLBC-UHFFFAOYSA-N	0.812086946453332	-0.557261289782268	0.778409806229815	0.509406090263515	0.0772698867294457	0.530525146270653	-0.448506374083358	small	-1.18535626140266	0.288343513235948	0.413106833822833	small	-0.335852966350986	1.16206663399665	-0.427658255669404	small	-1.1636870951576	0.30837058381879
6	DHMQDGOQFOQNFH-UHFFFAOYSA-N	0.0595086558100206	-0.178919555007212	0.00308731876341461	0.249779410136504	-0.39212238627719	0.329957324062803	-0.071999129766499	negligible	-0.799991937666149	0.655993678133151	0.261324107099854	small	-0.482934689886576	1.00558290408628	-0.00362615860147005	negligible	-0.731383815179089	0.724131497976149
9	ROHFNLRQFUQHCH-YFKPBYRVSA-N	-0.214274829124836	-0.132705873968577	0.802127224009617	-0.246820318250791	-0.446610878193228	2.39467728185643	0.406874140751417	small	-0.328374216366769	1.1421224978696	0.263973022273727	small	-0.480349874192346	1.0082959187398	-0.293774997824345	small	-1.02544703614793	0.43789704049924
10	ODHCTXKNWHHXJC-VKHMYHEASA-N	0.186415223385582	-0.660408512024878	0.183564496776642	0.554107406942138	0.0879827414284478	0.709702810717578	-0.214959205056937	small	-0.944814975228736	0.514896565114863	0.91756004114617	large	0.138476516642481	1.69664356564986	-0.19519036076085	negligible	-0.924678299522247	0.534297578000546
11	IPCSVZSSVZVIGE-UHFFFAOYSA-N	0.0215639437617412	0.0220446477185376	-0.0151666352516671	-0.145180921826172	-0.363423928844965	0.52937329466927	-0.0809936611387985	negligible	-0.809049037665683	0.647061715388086	-0.0877680200061489	negligible	-0.829230433819196	0.653694393806899	0.0437890409651636	negligible	-0.684055228536407	0.771633310466734
12	KDXKERNSBIXSRK-YFKPBYRVSA-N	0.384899171369621	-0.614770978737674	-0.38795460206409	-0.0740966087161503	-0.354318270941733	-0.0427390039306843	-0.316144585422764	small	-1.04843362193877	0.416144451093246	0.503052868173381	medium	-0.24966988824577	1.25577562459253	0.311949962373999	small	-0.42021997089	1.044119895638
13	QIQXTHQIDYTFRH-UHFFFAOYSA-N	-0.0451321132147982	-0.0375604458947869	0.0375047402138691	-0.575198110580263	-0.338072343492876	0.685378385757978	0.149577056473981	negligible	-0.579196936760916	0.878351049708877	0.117254384077521	negligible	-0.624487525777128	0.85899629393217	-0.0790712558887954	negligible	-0.807112641899854	0.648970130122263
14	QIVBCDIJIAJPQS-VIFPVBQESA-N	0.407930266520557	-0.944188580535913	-0.54743505759801	-0.158097561967891	-0.56405212833206	-0.260699600497746	-0.269900184392175	small	-1.00096312619497	0.461162757410622	0.572611337518227	medium	-0.183511865262289	1.32873454029874	0.351857718757546	small	-0.381508915887389	1.08522435340248
15	AGPKZVBTJJNPAG-WHFBIAKZSA-N	-0.0662594375585428	-0.331380201582055	-0.436911482389862	-0.81695594725507	-0.289098068093976	-0.708021131765293	0.114766615339597	negligible	-0.613589294383867	0.84312252506306	0.496087494849688	small	-0.256318194281694	1.24849318398107	0.692383313184679	medium	-0.05686169350893	1.44162831987829
16	OUYCCCASQSFEME-QMMMGPOBSA-N	0.0870867160859898	-0.422967811919461	-0.576680872105641	-0.199355099210668	0.0323499322899625	0.00471465936409121	-0.0961802193499261	negligible	-0.824357919695601	0.631997480995749	0.422941720957004	small	-0.326394399288534	1.17227784120254	0.575699676690029	medium	-0.166979437582996	1.31837879096305
