compound.type	class	term	sig.compounds	background.compounds	pval	padj
lipid	Super.Class	Glycerophospholipids [GP]	35	77	0.00333124500936339	0.0266499600749071
lipid	Super.Class	Sphingolipids [SP]	1	5	0.891642574647798	1
lipid	Super.Class	Fatty Acyls [FA]	3	18	0.984294100486165	1
lipid	Super.Class	Glycerolipids [GL]	0	2	1	1
lipid	Super.Class	Sterol Lipids [ST]	0	0	1	1
lipid	Super.Class	Prenol Lipids [PR]	0	0	1	1
lipid	Super.Class	Saccharolipids [SL]	0	0	1	1
lipid	Super.Class	Polyketides [PK]	0	0	1	1
lipid	Main.Class	Glycerophosphocholines [GP01]	35	58	1.09714417137989e-07	8.66743895390113e-06
lipid	Main.Class	Neutral glycosphingolipids [SP05]	1	1	0.353383458646617	1
lipid	Main.Class	Fatty Acids and Conjugates [FA01]	3	18	0.984294100486165	1
lipid	Main.Class	Other Fatty Acyls [FA00]	0	0	1	1
lipid	Main.Class	Octadecanoids [FA02]	0	0	1	1
lipid	Main.Class	Eicosanoids [FA03]	0	0	1	1
lipid	Main.Class	Docosanoids [FA04]	0	0	1	1
lipid	Main.Class	Fatty alcohols [FA05]	0	0	1	1
lipid	Main.Class	Fatty aldehydes [FA06]	0	0	1	1
lipid	Main.Class	Fatty esters [FA07]	0	0	1	1
lipid	Main.Class	Fatty amides [FA08]	0	0	1	1
lipid	Main.Class	Fatty nitriles [FA09]	0	0	1	1
lipid	Main.Class	Fatty ethers [FA10]	0	0	1	1
lipid	Main.Class	Hydrocarbons [FA11]	0	0	1	1
lipid	Main.Class	Oxygenated hydrocarbons [FA12]	0	0	1	1
lipid	Main.Class	Fatty acyl glycosides [FA13]	0	0	1	1
lipid	Main.Class	Other Glycerolipids [GL00]	0	0	1	1
lipid	Main.Class	Monoradylglycerols [GL01]	0	0	1	1
lipid	Main.Class	Diradylglycerols [GL02]	0	1	1	1
lipid	Main.Class	Triradylglycerols [GL03]	0	1	1	1
lipid	Main.Class	Glycosylmonoradylglycerols [GL04]	0	0	1	1
lipid	Main.Class	Glycosyldiradylglycerols [GL05]	0	0	1	1
lipid	Main.Class	Other Glycerophospholipids [GP00]	0	0	1	1
lipid	Main.Class	Glycerophosphoethanolamines [GP02]	0	19	1	1
lipid	Main.Class	Glycerophosphoserines [GP03]	0	0	1	1
lipid	Main.Class	Glycerophosphoglycerols [GP04]	0	0	1	1
lipid	Main.Class	Glycerophosphoglycerophosphates [GP05]	0	0	1	1
lipid	Main.Class	Glycerophosphoinositols [GP06]	0	0	1	1
lipid	Main.Class	Glycerophosphoinositol monophosphates [GP07]	0	0	1	1
lipid	Main.Class	Glycerophosphoinositol bisphosphates [GP08]	0	0	1	1
lipid	Main.Class	Glycerophosphoinositol trisphosphates [GP09]	0	0	1	1
lipid	Main.Class	Glycerophosphates [GP10]	0	0	1	1
lipid	Main.Class	Glyceropyrophosphates [GP11]	0	0	1	1
lipid	Main.Class	Glycerophosphoglycerophosphoglycerols [GP12]	0	0	1	1
lipid	Main.Class	CDP-Glycerols [GP13]	0	0	1	1
lipid	Main.Class	Glycosylglycerophospholipids [GP14]	0	0	1	1
lipid	Main.Class	Glycerophosphoinositolglycans [GP15]	0	0	1	1
lipid	Main.Class	Glycerophosphonocholines [GP16]	0	0	1	1
lipid	Main.Class	Glycerophosphonoethanolamines [GP17]	0	0	1	1
lipid	Main.Class	Di-glycerol tetraether phospholipids (caldarchaeols) [GP18]	0	0	1	1
lipid	Main.Class	Glycerol-nonitol tetraether phospholipids [GP19]	0	0	1	1
lipid	Main.Class	Oxidized glycerophospholipids [GP20]	0	0	1	1
lipid	Main.Class	Other Sphingolipids [SP00]	0	0	1	1
lipid	Main.Class	Sphingoid bases [SP01]	0	0	1	1
lipid	Main.Class	Ceramides [SP02]	0	1	1	1
lipid	Main.Class	Phosphosphingolipids [SP03]	0	3	1	1
lipid	Main.Class	Phosphonosphingolipids [SP04]	0	0	1	1
lipid	Main.Class	Acidic glycosphingolipids [SP06]	0	0	1	1
lipid	Main.Class	Basic glycosphingolipids [SP07]	0	0	1	1
lipid	Main.Class	Amphoteric glycosphingolipids [SP08]	0	0	1	1
lipid	Main.Class	Sterols [ST01]	0	0	1	1
lipid	Main.Class	Steroids [ST02]	0	0	1	1
lipid	Main.Class	Secosteroids [ST03]	0	0	1	1
lipid	Main.Class	Bile acids and derivatives [ST04]	0	0	1	1
lipid	Main.Class	Steroid conjugates [ST05]	0	0	1	1
lipid	Main.Class	Isoprenoids [PR01]	0	0	1	1
lipid	Main.Class	Quinones and hydroquinones [PR02]	0	0	1	1
lipid	Main.Class	Polyprenols [PR03]	0	0	1	1
lipid	Main.Class	Hopanoids [PR04]	0	0	1	1
lipid	Main.Class	Acylaminosugars [SL01]	0	0	1	1
lipid	Main.Class	Acylaminosugar glycans [SL02]	0	0	1	1
lipid	Main.Class	Acyltrehaloses [SL03]	0	0	1	1
