InChI.Key	Super.Class.x	Main.Class.x	Sub.Class.x	Molecular.Framework	PubChem.ID	Annotation	Super.Class.y	Main.Class.y	Sub.Class.y	KEGG
ADWDFBQPQIEGRZ-XBICFDGKSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	Aliphatic acyclic compounds	53480870	PE (p-36:4) or PE (o-36:5) 	NA	NA	NA	NA
AEMRFAOFKBGASW-UHFFFAOYSA-N	Organic acids and derivatives	Hydroxy acids and derivatives	Alpha hydroxy acids and derivatives	Aliphatic acyclic compounds	757	glycolic acid	NA	NA	NA	C00160
AGPKZVBTJJNPAG-WHFBIAKZSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Aliphatic acyclic compounds	6306	isoleucine	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Amino fatty acids [FA0110]	C00407
AHANXAKGNAKFSK-PDBXOOCHSA-N	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Aliphatic acyclic compounds	5312529	FA (20:3) (eicosatrienoicacid) 	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Unsaturated fatty acids [FA0103]	C16522
AHLPHDHHMVZTML-BYPYZUCNSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Aliphatic acyclic compounds	6262	ornithine	NA	NA	NA	C00077
AHWDQDMGFXRVFB-UHFFFAOYSA-N	NA	NA	NA	NA	13225	1,3,5-trimethylcyanuric acid	NA	NA	NA	NA
ANKCYRKQDLQXGL-NRDDHZETSA-N	NA	NA	NA	NA	NA	PC (30:1) 	NA	NA	NA	NA
ANRKEHNWXKCXDB-BHFWLYLHSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	Aliphatic acyclic compounds	5289133	PE (38:4) B 	Glycerophospholipids [GP]	Glycerophosphoethanolamines [GP02]	Diacylglycerophosphoethanolamines [GP0201]	NA
ASWBNKHCZGQVJV-HSZRJFAPSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	460602	LPC (16:0) 	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Monoacylglycerophosphocholines [GP0105]	C04230
ATHGHQPFGPMSJY-UHFFFAOYSA-N	Organic nitrogen compounds	Organonitrogen compounds	Amines	Aliphatic acyclic compounds	1102	spermidine	NA	NA	NA	C00315
ATTCDOPAYPGSLE-LQULQHAGSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	53479121	PC (p-38:5) or PC (o-38:6) 	NA	NA	NA	C00157
AVXURJPOCDRRFD-UHFFFAOYSA-N	Homogeneous non-metal compounds	Homogeneous other non-metal compounds	NA	NA	787	hydroxylamine	NA	NA	NA	C00192
AWUCVROLDVIAJX-UHFFFAOYSA-N	NA	NA	NA	NA	754	glycerol-alpha-phosphate	NA	NA	NA	C03189
AYFVYJQAPQTCCC-GBXIJSLDSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Aliphatic acyclic compounds	6288	threonine	NA	NA	NA	C00188
AYXGHIQPMDYMJC-AHMBLZLYSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	Aliphatic acyclic compounds	52924614	PC (35:3) 	Glycerophospholipids [GP]	Glycerophosphoethanolamines [GP02]	Diacylglycerophosphoethanolamines [GP0201]	C00350
BBNHCUBQEQJHIG-FZZJNMCHSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	52924055	LPC (20:3) 	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Monoacylglycerophosphocholines [GP0105]	NA
BGWGXPAPYGQALX-ARQDHWQXSA-N	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aliphatic heteromonocyclic compounds	440641	fructose-6-phosphate	NA	NA	NA	C05345
BHHGXPLMPWCGHP-UHFFFAOYSA-N	Benzenoids	Benzene and substituted derivatives	Phenethylamines	Aromatic homomonocyclic compounds	1001	phenylethylamine	NA	NA	NA	C05332
BITHHVVYSMSWAG-KTKRTIGZSA-N	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Aliphatic acyclic compounds	5282768	FA (20:1) (eicosenoicacid) 	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Unsaturated fatty acids [FA0103]	C16526
BNNUJTATKJXKJP-XCDHYEIISA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	53479075	PC (38:7) 	NA	NA	NA	C00157
BPUROMFCPFGBOT-ZEGPSQTJSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	24778982	PC (40:7) 	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Diacylglycerophosphocholines [GP0101]	C00157
BTCSSZJGUNDROE-UHFFFAOYSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Aliphatic acyclic compounds	119	4-aminobutyric acid	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Amino fatty acids [FA0110]	C00334
BTVWZWFKMIUSGS-UHFFFAOYSA-N	NA	NA	NA	NA	68410	isobutene glycol NIST	NA	NA	NA	NA
BXWNKGSJHAJOGX-UHFFFAOYSA-N	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols	Aliphatic acyclic compounds	2682	1-hexadecanol	Fatty Acyls [FA]	Fatty alcohols [FA05]	NA	C00823
CDAISMWEOUEBRE-UHFFFAOYSA-N	NA	NA	NA	NA	892	myo-inositol	NA	NA	NA	C00137
CFANDHZPOSNKNO-UDHSZFGOSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	Aliphatic acyclic compounds	53480897	PE (p-36:2) or PE (o-36:3) 	NA	NA	NA	NA
CGSJXLIKVBJVRY-XTGBIJOFSA-N	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholestane steroids	Aliphatic homopolycyclic compounds	92746	zymosterol	Sterol Lipids [ST]	Sterols [ST01]	Cholesterol and derivatives [ST0101]	C05437
CITHEXJVPOWHKC-UUWRZZSWSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	5459377	PC (28:0) 	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Diacylglycerophosphocholines [GP0101]	C00157
CKLJMWTZIZZHCS-REOHCLBHSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Aliphatic acyclic compounds	5960	aspartic acid	NA	NA	NA	C00049
CKPBBEOJHAPPBT-HXUWFJFHSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	Aliphatic acyclic compounds	53480922	LPE (16:0) 	Glycerophospholipids [GP]	Glycerophosphoethanolamines [GP02]	Monoacylglycerophosphoethanolamines [GP0205]	NA
CNNSEHUKQJCGTE-UPPWDXJYSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	24778699	PC (34:3) 	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Diacylglycerophosphocholines [GP0101]	C00157
COLNVLDHVKWLRT-QMMMGPOBSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Aromatic homomonocyclic compounds	6140	phenylalanine	NA	NA	NA	C00079
CZMRCDWAGMRECN-UGDNZRGBSA-N	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aliphatic heteromonocyclic compounds	5988	sucrose	NA	NA	NA	C00089
DBQMOXDLWKVKKG-REWQMPQJSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	53480761	PC (p-38:4) or PC (o-38:5) A 	NA	NA	NA	C00157
DCAYPVUWAIABOU-UHFFFAOYSA-N	Hydrocarbons	Saturated hydrocarbons	Alkanes	Aliphatic acyclic compounds	11006	hexadecane	Fatty Acyls [FA]	Hydrocarbons [FA11]	NA	C14499
DHMQDGOQFOQNFH-UHFFFAOYSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Aliphatic acyclic compounds	750	glycine	NA	NA	NA	C00037
DLIKSSGEMUFQOK-SFTVRKLSSA-N	NA	NA	NA	NA	92794	4',5-dihydroxy-7-glucosyloxyflavanone	NA	NA	NA	C09099
DLRVVLDZNNYCBX-RTPHMHGBSA-N	NA	NA	NA	NA	439193	isomaltose	NA	NA	NA	C00252
DNVPQKQSNYMLRS-APGDWVJJSA-N	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergostane steroids	Aliphatic homopolycyclic compounds	444679	ergosterol	Sterol Lipids [ST]	Sterols [ST01]	Ergosterols and C24-methyl derivatives [ST0103]	C01694
DRAJWRKLRBNJRQ-UHFFFAOYSA-N	NA	NA	NA	NA	16639161	hydroxycarbamate NIST	NA	NA	NA	NA
DSCFFEYYQKSRSV-FEPQRWDDSA-N	NA	NA	NA	NA	164619	pinitol	NA	NA	NA	NA
DTOSIQBPPRVQHS-PDBXOOCHSA-N	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives	Aliphatic acyclic compounds	5280934	FA (18:3) (linolenicacid) 	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Unsaturated fatty acids [FA0103]	C06427
DUQDVNACTOXOJA-KTKXOIIHSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	Aliphatic acyclic compounds	52924875	PE (36:4) 	Glycerophospholipids [GP]	Glycerophosphoethanolamines [GP02]	Diacylglycerophosphoethanolamines [GP0201]	C00350
DYDDZDMJSQYFGN-OIVUZXIWSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	24778771	PC (36:5) B 	Glycerophospholipids [GP]	Glycerophosphocholines [GP01]	Diacylglycerophosphocholines [GP0101]	NA
DZPHTQGGRSWHLG-USOCFQKQSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	Aliphatic acyclic compounds	53480884	PE (p-40:5) or PE (o-40:6) 	NA	NA	NA	NA
FAKYQMLQEAQOLK-LHZZQLRFSA-N	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Aliphatic acyclic compounds	53480695	PC (p-38:5) or PC (o-38:6) 	NA	NA	NA	C00157
FBPFZTCFMRRESA-JGWLITMVSA-N	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aliphatic acyclic compounds	5780	sorbitol	NA	NA	NA	C00794
FBPFZTCFMRRESA-KVTDHHQDSA-N	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Aliphatic acyclic compounds	6251	mannitol	NA	NA	NA	C00392
FBPFZTCFMRRESA-UHFFFAOYSA-N	NA	NA	NA	NA	453	hexitol	NA	NA	NA	C00392
FBUKVWPVBMHYJY-UHFFFAOYSA-N	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Aliphatic acyclic compounds	8158	pelargonic acid	Fatty Acyls [FA]	Fatty Acids and Conjugates [FA01]	Straight chain fatty acids [FA0101]	C01601
FFEARJCKVFRZRR-BYPYZUCNSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	NA	6137	methionine	NA	NA	NA	C00073
