Compound Name	InChiKeys	Pubchem ID	SMILES	pvalue	foldchange
LPC..20.5.	PDIGSOAOQOXRDU-WJPZTBRDSA-N	11757087	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O	0.13665300704281	0.14147712732967
LPC..14.0.	VXUOFDJKYGDUJI-OAQYLSRUSA-N	460604	CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O	0.250601036619501	0.131179702230012
LPC..16.1.	LFUDDCMNKWEORN-ZXEGGCGDSA-N	24779461	CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O	0.106930373614689	-0.100289558057739
LPE..20.4.	JPNPIRVRGLGTRE-YSKCIPFOSA-N	53480952	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O	0.774975708578515	-0.011530091668094
LPC..22.6.	LSOWKZULVQWMLY-APPDJCNMSA-N	10415542	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O	0.278055169182983	0.0362361219248513
LPC..15.0.	RJZVWDTYEWCUAR-JOCHJYFZSA-N	24779458	CCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O	0.158079176212279	0.228162866394765
LPC..20.4.	GOMVPVRDBLLHQC-VEJNOCSESA-N	53480469	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O	0.414361931727403	-0.176745974111217
LPC..18.2.	SPJFYYJXNPEZDW-FTJOPAKQSA-N	11005824	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O	0.88826185730779	-0.366469573995188
FA..20.5...eicosapentaenoicacid.	JAZBEHYOTPTENJ-JLNKQSITSA-N	446284	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	0.590152345225569	0.242865467352022
LPC..16.0.	ASWBNKHCZGQVJV-HSZRJFAPSA-N	460602	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O	0.175375376968299	0.174456115561435
LPE..16.0.	CKPBBEOJHAPPBT-HXUWFJFHSA-N	53480922	CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN	0.222794204586274	0.0847389994056016
FA..18.3...linolenicacid.	DTOSIQBPPRVQHS-PDBXOOCHSA-N	5280934	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O	0.951533166826957	0.205867456372866
LPC..20.3..1	BBNHCUBQEQJHIG-FZZJNMCHSA-N	52924055	CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O	0.218040484934078	0.0711290693843853
FA..22.6...docosahexaenoicacid.	MBMBGCFOFBJSGT-KUBAVDMBSA-N	445580	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O	0.840350690344334	0.237920892115554
LPC..18.1.	YAMUFBLWGFFICM-PTGWMXDISA-N	16081932	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O	0.656007282381222	-0.916107405514323
FA..16.1...palmitoleicacid.	SECPZKHBENQXJG-FPLPWBNLSA-N	445638	CCCCCC/C=C\CCCCCCCC(=O)O	0.897654382898465	0.234094505389162
oxoproline	ODHCTXKNWHHXJC-VKHMYHEASA-N	7405	C1CC(=O)N[C@@H]1C(=O)O	0.286513795480815	0.186415223385582
TG..54.5..A	OEJXMJPFOHYSIU-GRLFFVHSSA-N	9544294	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\CCCCCCCC	0.406785649266886	-0.530560993870679
hexadecylglycerol.NIST	OOWQBDFWEXAXPB-UHFFFAOYSA-N	72733	CCCCCCCCCCCCCCCCOCC(CO)O	0.463531418694966	0.0231739601296503
lignoceric.acid	QZZGJDVWLFXDLK-UHFFFAOYSA-N	11197	CCCCCCCCCCCCCCCCCCCCCCCC(=O)O	0.563969412550562	-0.669870429563911
cis.gondoic.acid	BITHHVVYSMSWAG-KTKRTIGZSA-N	5282768	CCCCCCCC/C=C\CCCCCCCCCC(=O)O	0.556187922540696	0.213721999848604
X2.ketoadipic.acid	FGSBNBBHOZHUBO-UHFFFAOYSA-N	71	C(CC(=O)C(=O)O)CC(=O)O	0.409164295957758	-0.17902413141899
palmitic.acid	IPCSVZSSVZVIGE-UHFFFAOYSA-N	985	CCCCCCCCCCCCCCCC(=O)O	0.937125932808455	0.0215639437617412
zymosterol	CGSJXLIKVBJVRY-XTGBIJOFSA-N	92746	C[C@H](CCC=C(C)C)[C@H]1CC[C@@H]2[C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C	0.734058820299553	-0.115016057734202
lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N	5962	C(CCN)C[C@@H](C(=O)O)N	0.454312430111045	0.384899171369621
hexadecane	DCAYPVUWAIABOU-UHFFFAOYSA-N	11006	CCCCCCCCCCCCCCCC	0.0309652514361361	-0.633537679282716
dodecanol	LQZZUXJYWNFBMV-UHFFFAOYSA-N	8193	CCCCCCCCCCCCO	0.73210231289555	-0.18325856488163
sulfuric.acid	QAOWNCQODCNURD-UHFFFAOYSA-N	1118	OS(=O)(=O)O	0.301288680764077	-0.795105572756484
myristic.acid	TUNFSRHWOTWDNC-UHFFFAOYSA-N	11005	CCCCCCCCCCCCCC(=O)O	0.587684583424585	0.0760708801381256
isomaltose	DLRVVLDZNNYCBX-RTPHMHGBSA-N	439193	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O	0.784784947740393	-0.255324818262848
hydroxycarbamate.NIST	DRAJWRKLRBNJRQ-UHFFFAOYSA-M	16639161	C(=O)(NO)O	0.148623813289429	0.00747949514565249
X4..5.dihydroxy.7.glucosyloxyflavanone	DLIKSSGEMUFQOK-SFTVRKLSSA-N	92794	C1[C@H](OC2=CC(=CC(=C2C1=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C4=CC=C(C=C4)O	0.330906085785569	0.0701669814255359
cellobiose	GUBGYTABKSRVRQ-QUYVBRFLSA-N	6255	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O	0.677186932154635	-0.217062186924187
tryptophan	QIVBCDIJIAJPQS-VIFPVBQESA-N	6305	C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N	0.464819539215844	0.407930266520557
fumaric.acid	VZCYOOQTPOCHFL-OWOJBTEDSA-N	444972	C(=C/C(=O)O)\C(=O)O	0.0217742014472679	-0.17604813273794
beta.alanine	UCMIRNVEIXFBKS-UHFFFAOYSA-N	239	C(CN)C(=O)O	0.311193023503807	0.4764333799314
isoleucine	AGPKZVBTJJNPAG-WHFBIAKZSA-N	6306	CC[C@H](C)[C@@H](C(=O)O)N	0.579245663870405	-0.0662594375585428
tyrosine	OUYCCCASQSFEME-QMMMGPOBSA-N	6057	C1=CC(=CC=C1C[C@@H](C(=O)O)N)O	0.9875660634546	0.0870867160859898
succinic.acid	KDYFGRWQOYBRFD-UHFFFAOYSA-N	1110	C(CC(=O)O)C(=O)O	0.430638770762132	-0.481557207543679
sorbitol	FBPFZTCFMRRESA-JGWLITMVSA-N	5780	C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O	0.889531454855392	0.0307768375993422
linoleic.acid	OYHQOLUKZRVURQ-HZJYTTRNSA-N	5280450	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O	0.10181070051004	-0.243199646394748
pinitol	DSCFFEYYQKSRSV-FEPQRWDDSA-N	164619	COC1[C@@H]([C@H](C([C@@H]([C@@H]1O)O)O)O)O	0.546572905068348	-0.236995652787591
ribose	HMFHBZSHGGEWLO-SOOFDHNKSA-N	5779	C([C@@H]1[C@H]([C@H](C(O1)O)O)O)O	0.292563267483993	-0.183759411146751
sucrose	CZMRCDWAGMRECN-UGDNZRGBSA-N	5988	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O	0.379115399659275	-1.97144502739073
galactose	WQZGKKKJIJFFOK-PHYPRBDBSA-N	439357	C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O	0.0387178951876358	0.394748671092296
X1.hexadecanol	BXWNKGSJHAJOGX-UHFFFAOYSA-N	2682	CCCCCCCCCCCCCCCCO	0.61208440362722	0.123999836575592
methionine.sulfoxide	QEFRNWWLZKMPFJ-YGVKFDHGSA-N	158980	CS(=O)CC[C@@H](C(=O)O)N	0.541868380658615	0.318578006503371
glycerol.alpha.phosphate	AWUCVROLDVIAJX-UHFFFAOYSA-N	754	C(C(COP(=O)(O)O)O)O	0.685145561174033	-0.696647239691199
thymine	RWQNBRDOKXIBIV-UHFFFAOYSA-N	1135	CC1=CNC(=O)NC1=O	0.468103285296077	-0.455518968769528
glutaric.acid	JFCQEDHGNNZCLN-UHFFFAOYSA-N	743	C(CC(=O)O)CC(=O)O	0.167881657209904	-0.00381833934639531
X5.aminovaleric.acid	JJMDCOVWQOJGCB-UHFFFAOYSA-N	138	C(CCN)CC(=O)O	0.702683619203919	-0.103085517293986
hydroxylamine	AVXURJPOCDRRFD-UHFFFAOYSA-N	787	NO	0.113588842071151	-0.124949372772917
citrulline	RHGKLRLOHDJJDR-BYPYZUCNSA-N	9750	C(C[C@@H](C(=O)O)N)CNC(=O)N	0.185014494151738	0.865434170398878
threonine	AYFVYJQAPQTCCC-GBXIJSLDSA-N	6288	C[C@H]([C@@H](C(=O)O)N)O	0.342458261357515	0.0377683395948587
spermidine	ATHGHQPFGPMSJY-UHFFFAOYSA-N	1102	C(CCNCCCN)CN	0.489383521898055	0.15091411991618
ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N	6262	C(C[C@@H](C(=O)O)N)CN	0.4737135464354	0.279653631866458
threonic.acid	JPIJQSOTBSSVTP-STHAYSLISA-N	5460407	C([C@@H]([C@H](C(=O)O)O)O)O	0.209974779199868	0.332723297886856
