InChI.Key,PubChem,KEGG
ADWDFBQPQIEGRZ-XBICFDGKSA-N,53480870,NA
AEMRFAOFKBGASW-UHFFFAOYSA-N,757,C00160
AGPKZVBTJJNPAG-WHFBIAKZSA-N,6306,C00407
AHANXAKGNAKFSK-PDBXOOCHSA-N,5312529,C16522
AHLPHDHHMVZTML-BYPYZUCNSA-N,6262,C00077
ANKCYRKQDLQXGL-MRDDHZETSA-N,52922250,C00157
ANRKEHNWXKCXDB-BHFWLYLHSA-N,5289133,NA
ASWBNKHCZGQVJV-HSZRJFAPSA-N,460602,C04230
ATHGHQPFGPMSJY-UHFFFAOYSA-N,1102,C00315
ATTCDOPAYPGSLE-LQULQHAGSA-N,53479121,C00157
AVXURJPOCDRRFD-UHFFFAOYSA-N,787,C00192
AWUCVROLDVIAJX-UHFFFAOYSA-N,754,C03189
AYFVYJQAPQTCCC-GBXIJSLDSA-N,6288,C00188
AYXGHIQPMDYMJC-AHMBLZLYSA-N,52924614,C00350
BBNHCUBQEQJHIG-FZZJNMCHSA-N,52924055,NA
BGWGXPAPYGQALX-ARQDHWQXSA-N,440641,C05345
BHHGXPLMPWCGHP-UHFFFAOYSA-N,1001,C05332
BITHHVVYSMSWAG-KTKRTIGZSA-N,5282768,C16526
BNNUJTATKJXKJP-XCDHYEIISA-N,53479075,C00157
BPUROMFCPFGBOT-ZEGPSQTJSA-N,24778982,C00157
BTCSSZJGUNDROE-UHFFFAOYSA-N,119,C00334
BTVWZWFKMIUSGS-UHFFFAOYSA-N,68410,NA
BXWNKGSJHAJOGX-UHFFFAOYSA-N,2682,C00823
CDAISMWEOUEBRE-UHFFFAOYSA-N,892,C00137
CFANDHZPOSNKNO-UDHSZFGOSA-N,53480897,NA
CGSJXLIKVBJVRY-XTGBIJOFSA-N,92746,C05437
CITHEXJVPOWHKC-UUWRZZSWSA-N,5459377,C00157
CKLJMWTZIZZHCS-REOHCLBHSA-N,5960,C00049
CKPBBEOJHAPPBT-HXUWFJFHSA-N,53480922,NA
CNNSEHUKQJCGTE-UPPWDXJYSA-N,24778699,C00157
COLNVLDHVKWLRT-QMMMGPOBSA-N,6140,C00079
CZMRCDWAGMRECN-UGDNZRGBSA-N,5988,C00089
DBQMOXDLWKVKKG-REWQMPQJSA-N,53480761,C00157
DCAYPVUWAIABOU-UHFFFAOYSA-N,11006,C14499
DHMQDGOQFOQNFH-UHFFFAOYSA-N,750,C00037
DLIKSSGEMUFQOK-SFTVRKLSSA-N,92794,C09099
DLRVVLDZNNYCBX-RTPHMHGBSA-N,439193,C00252
DNVPQKQSNYMLRS-APGDWVJJSA-N,444679,C01694
DRAJWRKLRBNJRQ-UHFFFAOYSA-M,16639161,C01563
DSCFFEYYQKSRSV-FEPQRWDDSA-N,164619,C03844
DTOSIQBPPRVQHS-PDBXOOCHSA-N,5280934,C06427
DUQDVNACTOXOJA-KTKXOIIHSA-N,52924875,C00350
DYDDZDMJSQYFGN-OIVUZXIWSA-N,24778771,NA
DZPHTQGGRSWHLG-USOCFQKQSA-N,53480884,NA
FAKYQMLQEAQOLK-LHZZQLRFSA-N,53480695,C00157
FBPFZTCFMRRESA-JGWLITMVSA-N,5780,C00794
FBPFZTCFMRRESA-KVTDHHQDSA-N,6251,C00392
FBPFZTCFMRRESA-UHFFFAOYSA-N,453,C00392
FBUKVWPVBMHYJY-UHFFFAOYSA-N,8158,C01601
FFEARJCKVFRZRR-BYPYZUCNSA-N,6137,C00073
FGSBNBBHOZHUBO-UHFFFAOYSA-N,71,C00322
FYGDTMLNYKFZSV-DZOUCCHMSA-N,439586,C01835
GEINPYKZLFHHIL-HEXXMCQTSA-N,52922342,C00157
GFFGJBXGBJISGV-UHFFFAOYSA-N,190,C00147
GGNQRNBDZQJCCN-UHFFFAOYSA-N,10787,C02814
GHVNFZFCNZKVNT-UHFFFAOYSA-N,2969,C01571
GLDOVTGHNKAZLK-UHFFFAOYSA-N,8221,NA
GOMVPVRDBLLHQC-VEJNOCSESA-N,53480469,C04230
GPWHCUUIQMGELX-VHQDNGOZSA-N,24778764,C00157
GRGDLDNREYVILP-CNWVQWJYSA-N,9543784,NA
GUBGYTABKSRVRQ-PICCSMPSSA-N,439186,C00208
GUBGYTABKSRVRQ-QKKXKWKRSA-N,440995,C00243
GUBGYTABKSRVRQ-QUYVBRFLSA-N,6255,C01971
HBZNVZIRJWODIB-NHCUFCNUSA-N,9546747,NA
HCXVJBMSMIARIN-PHZDYDNGSA-N,5280794,C05442
HEBKCHPVOIAQTA-IMJSIDKUSA-N,439255,C00532
HEBKCHPVOIAQTA-NGQZWQHPSA-N,6912,C00379
HHQFKPJXVYWLLJ-ABYSKWQHSA-N,53480857,NA
HLIJNIKSBCIDGO-QKLMXXKVSA-N,53477895,C01290
HMFHBZSHGGEWLO-SOOFDHNKSA-N,5779,C00121
HNJBEVLQSNELDL-UHFFFAOYSA-N,12025,C11118
HOBAELRKJCKHQD-QNEBEIHSSA-N,5280581,C03242
HVGRZDASOHMCSK-AVQMFFATSA-N,5282807,C16533
HVYWMOMLDIMFJA-DPAQBDIFSA-N,5997,C00187
HZAXFHJVJLSVMW-UHFFFAOYSA-N,700,C00189
IAJILQKETJEXLJ-UHFFFAOYSA-N,152867,C08348
IIUXHTGBZYEGHI-UHFFFAOYSA-N,164860,NA
IIZPXYDJLKNOIY-JXPKJXOSSA-N,10747814,C00157
IJTJDJOOHZVSAC-NDRUHXFFSA-N,53479083,C00157
IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,C00249
IQFYYKKMVGJFEH-XLPZGREQSA-N,5789,C00214
IQSPCSIULMCRPM-ZAJUHDLGSA-N,53479831,C00350
ISYWECDDZWTKFF-UHFFFAOYSA-N,12591,C16535
JAZBEHYOTPTENJ-JLNKQSITSA-N,446284,C06428
JBKVHLHDHHXQEQ-UHFFFAOYSA-N,7768,C06593
JBYXPOFIGCOSSB-XBLVEGMJSA-N,5280644,C01595
JCQLYHFGKNRPGE-FCVZTGTOSA-N,11333,C07064
JFCQEDHGNNZCLN-UHFFFAOYSA-N,743,C00489
JJMDCOVWQOJGCB-UHFFFAOYSA-N,138,C00431
JLPULHDHAOZNQI-ZTIMHPMXSA-N,5287971,C00157
JPIJQSOTBSSVTP-STHAYSLISA-N,5460407,C01620
JPNPIRVRGLGTRE-YSKCIPFOSA-N,53480952,NA
JTEJPPKMYBDEMY-UHFFFAOYSA-N,1833,C05659
JVTAAEKCZFNVCJ-UHFFFAOYSA-N,612,C01432
JXOHGGNKMLTUBP-HSUXUTPPSA-N,8742,C00493
KCNBSSYOJRUKOM-JALPNNRCSA-N,52925089,NA
KDXKERNSBIXSRK-YFKPBYRVSA-N,5962,C00047
KDYFGRWQOYBRFD-UHFFFAOYSA-N,1110,C00042
KEMQGTRYUADPNZ-UHFFFAOYSA-N,10465,NA
KEVGQWGZKKFGDC-JCUPVDEDSA-N,53478671,NA
KIDHWZJUCRJVML-UHFFFAOYSA-N,1045,C00138
KILNVBDSWZSGLL-KXQOOQHDSA-N,452110,C00157
KZJWDPNRJALLNS-VJSFXXLFSA-N,222284,C01753
KZNQNBZMBZJQJO-YFKPBYRVSA-N,3013625,NA
KZSNJWFQEVHDMF-BYPYZUCNSA-N,6287,C00183
KZSXWBSDQDXESU-PPEVQBTRSA-N,52923579,C00157
LFGBKOUQHCWBQI-BZGLIJSBSA-N,52924893,C00350
LFTYTUAZOPRMMI-CFRASDGPSA-N,445675,C00043
LFUDDCMNKWEORN-ZXEGGCGDSA-N,24779461,C04230
LKDRXBCSQODPBY-OEXCPVAWSA-N,439312,C00795
LQZZUXJYWNFBMV-UHFFFAOYSA-N,8193,C02277
LSOWKZULVQWMLY-APPDJCNMSA-N,10415542,C04230
MBMBGCFOFBJSGT-KUBAVDMBSA-N,445580,C06429
MBRHHFWRXQYYAN-RTVLTNFHSA-N,53480735,C00157
MDRFMTLYKHBJTF-NQYLGBTJSA-N,52931179,C00550
MTCFGRXMJLQNBG-REOHCLBHSA-N,5951,C00065
NBEADXWAAWCCDG-QDDWGVBQSA-N,6443882,C00550
NBIIXXVUZAFLBC-UHFFFAOYSA-N,1004,C00009
NBSCHQHZLSJFNQ-GASJEMHNSA-N,5958,C00092
NFWKVWVWBFBAOV-MISYRCLQSA-N,94391,C12078
NKQPOVROGSWLTO-NVPMBMBWSA-N,52922783,C00157
NPGWXTIWUUFYAB-DIPNUNPCSA-N,24778680,C00157
NYHBQMYGNKIUIF-UUOKFMHZSA-N,6802,C00387
OBAAWAYLQLYWNN-KHFVPPDWSA-N,53480895,NA
ODHCTXKNWHHXJC-VKHMYHEASA-N,7405,C01879
OEJXMJPFOHYSIU-GRLFFVHSSA-N,9544294,NA
OIRDTQYFTABQOQ-KQYNXXCUSA-N,60961,C00212
OOWQBDFWEXAXPB-UHFFFAOYSA-N,72733,C13859
OROZWUJCDDCYAU-IPUAOQJZSA-N,52922204,NA
OUYCCCASQSFEME-QMMMGPOBSA-N,6057,C00082
OYHQOLUKZRVURQ-HZJYTTRNSA-N,5280450,C01595
PDIGSOAOQOXRDU-WJPZTBRDSA-N,11757087,C04230
PEDCQBHIVMGVHV-UHFFFAOYSA-N,753,C00116
PFNFFQXMRSDOHW-UHFFFAOYSA-N,1103,C00750
PLZBTDKJYHXIEW-DZUXOTHRSA-N,52923295,C00157
POULHZVOKOAJMA-UHFFFAOYSA-N,3893,C02679
PVNIIMVLHYAWGP-UHFFFAOYSA-N,938,C00253
QAOWNCQODCNURD-UHFFFAOYSA-N,1118,C00059
QCGUXAIDEOWPBV-SNKLRXETSA-N,53481719,C00157
QEFRNWWLZKMPFJ-YGVKFDHGSA-N,158980,C02989
QFVHCMLUKNHDSH-WTWBAFHPSA-N,24778657,NA
QHZLMUACJMDIAE-UHFFFAOYSA-N,14900,C01885
QIBZFHLFHCIUOT-NPBIGWJUSA-N,6443788,C00157
QIQXTHQIDYTFRH-UHFFFAOYSA-N,5281,C01530
QIVBCDIJIAJPQS-VIFPVBQESA-N,6305,C00078
QMCWOGICYCFNBF-BWHZRABLSA-N,52922637,C00157
QNAYBMKLOCPYGJ-REOHCLBHSA-N,5950,C00041
QQVDJLLNRSOCEL-UHFFFAOYSA-N,339,C03557
QRPUCJXFPYFTMB-FBFLODOBSA-N,52922853,C00157
QSBYPNXLFMSGKH-CMDGGOBGSA-N,5312440,C16536
QYIXCDOBOSTCEI-FBVYSKEZSA-N,66066,C12978
QZZGJDVWLFXDLK-UHFFFAOYSA-N,11197,C08320
RBNPOMFGQQGHHO-UWTATZPHSA-N,439194,C00258
RFSUNEUAIZKAJO-ARQDHWQXSA-N,439709,C02336
RFVFQQWKPSOBED-PSXMRANNSA-N,129657,C00157
RGHNJXZEOKUKBD-MGCNEYSASA-N,128869,C00880
RGHNJXZEOKUKBD-QTBDOELSSA-N,6857417,C00800
RHGKLRLOHDJJDR-BYPYZUCNSA-N,9750,C00327
RJZVWDTYEWCUAR-JOCHJYFZSA-N,24779458,NA
RLLOITCRNQRGJD-DFAKUSJGSA-N,52925061,NA
ROHFNLRQFUQHCH-YFKPBYRVSA-N,6106,C00123
RWQNBRDOKXIBIV-UHFFFAOYSA-N,1135,C00178
RWVKPDIHPPTVRQ-HWGQMOSASA-N,53480747,C00157
SECPZKHBENQXJG-FPLPWBNLSA-N,445638,C08362
SHZGCJCMOBCMKK-FPRJBGLDSA-N,439650,C02095
SIMZOWLEIOYZJX-VRCXRDLJSA-N,53479127,C00157
SJZRECIVHVDYJC-UHFFFAOYSA-N,10413,C00989
