InChI.Key,PubChem,KEGG,
ADWDFBQPQIEGRZ-XBICFDGKSA-N,53480870,NA,CCCCCC/C=C\CCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC
AEMRFAOFKBGASW-UHFFFAOYSA-N,757,C00160,C(C(=O)O)O
AGPKZVBTJJNPAG-WHFBIAKZSA-N,6306,C00407,CC[C@H](C)[C@@H](C(=O)O)N
AHANXAKGNAKFSK-PDBXOOCHSA-N,5312529,C16522,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O
AHLPHDHHMVZTML-BYPYZUCNSA-N,6262,C00077,C(C[C@@H](C(=O)O)N)CN
ANKCYRKQDLQXGL-MRDDHZETSA-N,52922250,C00157,CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)([O-])OCC[N+](C)(C)C
ANRKEHNWXKCXDB-BHFWLYLHSA-N,5289133,NA,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
ASWBNKHCZGQVJV-HSZRJFAPSA-N,460602,C04230,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O
ATHGHQPFGPMSJY-UHFFFAOYSA-N,1102,C00315,C(CCNCCCN)CN
ATTCDOPAYPGSLE-LQULQHAGSA-N,53479121,C00157,CCCCCCCC/C=C\CCCCCC/C=C\OC(COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C
AVXURJPOCDRRFD-UHFFFAOYSA-N,787,C00192,NO
AWUCVROLDVIAJX-UHFFFAOYSA-N,754,C03189,C(C(COP(=O)(O)O)O)O
AYFVYJQAPQTCCC-GBXIJSLDSA-N,6288,C00188,C[C@H]([C@@H](C(=O)O)N)O
AYXGHIQPMDYMJC-AHMBLZLYSA-N,52924614,C00350,CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OCCN
BBNHCUBQEQJHIG-FZZJNMCHSA-N,52924055,NA,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O
BGWGXPAPYGQALX-ARQDHWQXSA-N,440641,C05345,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
BHHGXPLMPWCGHP-UHFFFAOYSA-N,1001,C05332,C1=CC=C(C=C1)CCN
BITHHVVYSMSWAG-KTKRTIGZSA-N,5282768,C16526,CCCCCCCC/C=C\CCCCCCCCCC(=O)O
BNNUJTATKJXKJP-XCDHYEIISA-N,53479075,C00157,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C
BPUROMFCPFGBOT-ZEGPSQTJSA-N,24778982,C00157,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC
BTCSSZJGUNDROE-UHFFFAOYSA-N,119,C00334,C(CC(=O)O)CN
BTVWZWFKMIUSGS-UHFFFAOYSA-N,68410,NA,CC(C)(CO)O
BXWNKGSJHAJOGX-UHFFFAOYSA-N,2682,C00823,CCCCCCCCCCCCCCCCO
CDAISMWEOUEBRE-UHFFFAOYSA-N,892,C00137,C1(C(C(C(C(C1O)O)O)O)O)O
CFANDHZPOSNKNO-UDHSZFGOSA-N,53480897,NA,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](CO/C=C\CCCCCC/C=C\CCCCCCCC)COP(=O)(O)OCCN
CGSJXLIKVBJVRY-XTGBIJOFSA-N,92746,C05437,C[C@H](CCC=C(C)C)[C@H]1CC[C@@H]2[C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C
