Identifier	Annotation	InChI.Key	Identifier_R
5.80_572.48	Ceramide (d34:1)	YDNKGFDKKRUKPY-TURZORIXSA-N	Ceramide..d34.1.
4.99_325.18	CSH_negESI #223	NA	CSH_negESI..223
1.69_478.29	CSH_negESI #527	NA	CSH_negESI..527
1.76_436.28	CSH_negESI #530	NA	CSH_negESI..530
4.71_814.52	CSH_negESI #590	NA	CSH_negESI..590
4.99_681.51	CSH_negESI #615	NA	CSH_negESI..615
5.17_734.53	CSH_negESI #628	NA	CSH_negESI..628
5.88_736.53	CSH_negESI #668	NA	CSH_negESI..668
4.87_719.57	CSH_posESI #002	NA	CSH_posESI..002
4.96_872.54	CSH_posESI #033	NA	CSH_posESI..033
5.13_896.54	CSH_posESI #034	NA	CSH_posESI..034
5.12_858.60	CSH_posESI #036	NA	CSH_posESI..036
5.98_858.60	CSH_posESI #037	NA	CSH_posESI..037
5.15_766.57	CSH_posESI #103	NA	CSH_posESI..103
5.14_627.53	CSH_posESI #270	NA	CSH_posESI..270
5.14_887.56_5.15_904.59	CSH_posESI #275	NA	CSH_posESI..275
5.10_577.52	CSH_posESI #288	NA	CSH_posESI..288
5.16_776.58	CSH_posESI #293	NA	CSH_posESI..293
6.07_792.56	CSH_posESI #363	NA	CSH_posESI..363
6.64_665.51	DG (38:5)	GRGDLDNREYVILP-CNWVQWJYSA-N	DG..38.5.
2.00_241.22	FA (15:0) (pentadecylicacid)	WQEPLUUGTLDZJY-UHFFFAOYSA-N	FA..15.0...pentadecylicacid.
1.81_253.22	FA (16:1) (palmitoleicacid)	SECPZKHBENQXJG-FPLPWBNLSA-N	FA..16.1...palmitoleicacid.
2.94_269.25	FA (17:0) (margaricacid)	KEMQGTRYUADPNZ-UHFFFAOYSA-N	FA..17.0...margaricacid.
2.21_267.23	FA (17:1) (heptadecenoicacid)	QSBYPNXLFMSGKH-CMDGGOBGSA-N	FA..17.1...heptadecenoicacid.
3.25_283.27	FA (18:0) (stearicacid)	QIQXTHQIDYTFRH-UHFFFAOYSA-N	FA..18.0...stearicacid.
2.68_281.25	FA (18:1) (oleicacid)	ZQPPMHVWECSIRJ-KTKRTIGZSA-N	FA..18.1...oleicacid.
2.03_279.23	FA (18:2) (linoleicacid)	JBYXPOFIGCOSSB-XBLVEGMJSA-N	FA..18.2...linoleicacid.
1.55_277.22	FA (18:3) (linolenicacid)	DTOSIQBPPRVQHS-PDBXOOCHSA-N	FA..18.3...linolenicacid.
3.84_311.30	FA (20:0) (arachidicacid)	VKOBVWXKNCXXDE-UHFFFAOYSA-N	FA..20.0...arachidicacid.
3.32_309.28	FA (20:1) (eicosenoicacid)	BITHHVVYSMSWAG-KTKRTIGZSA-N	FA..20.1...eicosenoicacid.
2.89_307.26	FA (20:2) (eicosadienoicacid)	XSXIVVZCUAHUJO-HZJYTTRNSA-N	FA..20.2...eicosadienoicacid.
2.47_305.25	FA (20:3) (eicosatrienoicacid)	AHANXAKGNAKFSK-PDBXOOCHSA-N	FA..20.3...eicosatrienoicacid.
2.31_305.25	FA (20:3) (homo-gamma-linolenicacid)	HOBAELRKJCKHQD-QNEBEIHSSA-N	FA..20.3...homo.gamma.linolenicacid.
1.89_303.23	FA (20:4) (arachidonicacid)	YZXBAPSDXZZRGB-DOFZRALJSA-N	FA..20.4...arachidonicacid.
1.46_301.22	FA (20:5) (eicosapentaenoicacid)	JAZBEHYOTPTENJ-JLNKQSITSA-N	FA..20.5...eicosapentaenoicacid.
4.50_339.32	FA (22:0) (behenicacid)	UKMSUNONTOPOIO-UHFFFAOYSA-N	FA..22.0...behenicacid.
3.46_335.29	FA (22:2) (docosadienoicacid)	HVGRZDASOHMCSK-AVQMFFATSA-N	FA..22.2...docosadienoicacid.
1.68_327.23	FA (22:6) (docosahexaenoicacid)	MBMBGCFOFBJSGT-KUBAVDMBSA-N	FA..22.6...docosahexaenoicacid.
5.09_862.62_5.08_884.61	Gal-Gal-Cer(d18:1/16:0) or Lactosylceramide(d18:1/16:0)	HLIJNIKSBCIDGO-QKLMXXKVSA-N or HLIJNIKSBCIDGO-NLXPYQMASA-N	Gal.Gal.Cer.d18.1.16.0..or.Lactosylceramide.d18.1.16.0.
4.99_750.53	GlcCer(d14:1(4E)/20:0(2OH))	YYILQTLJZBSOCA-IMJQGFQJSA-N	GlcCer.d14.1.4E..20.0.2OH..
1.06_468.31	LPC (14:0)	VXUOFDJKYGDUJI-OAQYLSRUSA-N	LPC..14.0.
1.31_482.32	LPC (15:0)	RJZVWDTYEWCUAR-JOCHJYFZSA-N	LPC..15.0.
1.51_554.34	LPC (16:0)	ASWBNKHCZGQVJV-HSZRJFAPSA-N	LPC..16.0.
1.64_496.34	LPC (16:0)	ASWBNKHCZGQVJV-HSZRJFAPSA-N	LPC..16.0..1
1.18_494.32	LPC (16:1)	LFUDDCMNKWEORN-ZXEGGCGDSA-N	LPC..16.1.
1.80_522.35	LPC (18:1)	YAMUFBLWGFFICM-PTGWMXDISA-N	LPC..18.1.
1.35_520.34	LPC (18:2)	SPJFYYJXNPEZDW-FTJOPAKQSA-N	LPC..18.2.
1.45_604.36	LPC (20:3)	BBNHCUBQEQJHIG-FZZJNMCHSA-N	LPC..20.3.
1.55_546.36	LPC (20:3)	BBNHCUBQEQJHIG-FZZJNMCHSA-N	LPC..20.3..1
1.31_544.34	LPC (20:4)	GOMVPVRDBLLHQC-VEJNOCSESA-N	LPC..20.4.
1.04_542.32	LPC (20:5)	PDIGSOAOQOXRDU-WJPZTBRDSA-N	LPC..20.5.
1.23_568.34	LPC (22:6)	LSOWKZULVQWMLY-APPDJCNMSA-N	LPC..22.6.
1.53_452.28	LPE (16:0)	CKPBBEOJHAPPBT-HXUWFJFHSA-N	LPE..16.0.
1.23_500.28	LPE (20:4)	JPNPIRVRGLGTRE-YSKCIPFOSA-N	LPE..20.4.
4.55_678.51_4.54_700.49	PC (28:0)	CITHEXJVPOWHKC-UUWRZZSWSA-N	PC..28.0.
5.15_706.54_5.15_728.52	PC (30:0)	RFVFQQWKPSOBED-PSXMRANNSA-N	PC..30.0.
4.64_704.52	PC (30:1)	ANKCYRKQDLQXGL-MRDDHZETSA-N	PC..30.1.
5.44_720.55	PC (31:0)	NPGWXTIWUUFYAB-DIPNUNPCSA-N	PC..31.0.
5.13_718.54	PC (31:1)	QFVHCMLUKNHDSH-WTWBAFHPSA-N	PC..31.1.
5.64_792.58	PC (32:0)	KILNVBDSWZSGLL-KXQOOQHDSA-N	PC..32.0.
5.08_790.56	PC (32:1)	QIBZFHLFHCIUOT-NPBIGWJUSA-N	PC..32.1.
4.59_788.54	PC (32:2)	GPWHCUUIQMGELX-VHQDNGOZSA-N	PC..32.2.
5.71_818.59	PC (34:1)	WTJKGGKOPKCXLL-VYOBOKEXSA-N	PC..34.1.
5.22_816.58	PC (34:2)	JLPULHDHAOZNQI-ZTIMHPMXSA-N	PC..34.2.
