BinBase.name	BB.id	PubChem	KEGG	InChI.Key	BinBasename_R
zymosterol	110304	92746	C05437	CGSJXLIKVBJVRY-XTGBIJOFSA-N	zymosterol
xylitol	5857	6912	C00379	HEBKCHPVOIAQTA-NGQZWQHPSA-N	xylitol
valine	34069	6287	C00183	KZSNJWFQEVHDMF-BYPYZUCNSA-N	valine
urea	34052	1176	C00086	XSQUKJJJFZCRTK-UHFFFAOYSA-N	urea
UDP GlcNAc	42230	445675	C00043	LFTYTUAZOPRMMI-CFRASDGPSA-N	UDP.GlcNAc
tyrosine	16	6057	C00082	OUYCCCASQSFEME-QMMMGPOBSA-N	tyrosine
tryptophan	14	6305	C00078	QIVBCDIJIAJPQS-VIFPVBQESA-N	tryptophan
thymine	1692	1135	C00178	RWQNBRDOKXIBIV-UHFFFAOYSA-N	thymine
thymidine	87703	5789	C00214	IQFYYKKMVGJFEH-XLPZGREQSA-N	thymidine
threonine	171298	6288	C00188	AYFVYJQAPQTCCC-GBXIJSLDSA-N	threonine
threonic acid	172	5460407	C01620	JPIJQSOTBSSVTP-STHAYSLISA-N	threonic.acid
taurine	411	1123	C00245	XOAAWQZATWQOTB-UHFFFAOYSA-N	taurine
tagatose	3356	439312	C00795	LKDRXBCSQODPBY-OEXCPVAWSA-N	tagatose
sulfuric acid	12266	1118	C00059	QAOWNCQODCNURD-UHFFFAOYSA-N	sulfuric.acid
sucrose	16661	5988	C00089	CZMRCDWAGMRECN-UGDNZRGBSA-N	sucrose
succinic acid	161	1110	C00042	KDYFGRWQOYBRFD-UHFFFAOYSA-N	succinic.acid
stigmasterol	17956	5280794	C05442	HCXVJBMSMIARIN-PHZDYDNGSA-N	stigmasterol
stearic acid	13	5281	C01530	QIQXTHQIDYTFRH-UHFFFAOYSA-N	stearic.acid
squalene	23042	638072	C00751	YYGNTYWPHWGJRM-AAJYLUCBSA-N	squalene
spermine	3197	1103	C00750	PFNFFQXMRSDOHW-UHFFFAOYSA-N	spermine
spermidine	1714	1102	C00315	ATHGHQPFGPMSJY-UHFFFAOYSA-N	spermidine
sorbitol	162	5780	C00794	FBPFZTCFMRRESA-JGWLITMVSA-N	sorbitol
shikimic acid	286	8742	C00493	JXOHGGNKMLTUBP-HSUXUTPPSA-N	shikimic.acid
