Identifier,InChI.Key.x,logFC_HL,logFC_LH,logFC_LL,logRSDfc_HL,logRSDfc_LH,logRSDfc_LL,CohenD_HL_effect,Mag_HL_effect,CI_inf_HL_effect,CI_sup_HL_effect,CohenD_LH_effect,Mag_LH_effect,CI_inf_LH_effect,CI_sup_LH_effect,CohenD_LL_effect,Mag_LL_effect,CI_inf_LL_effect,CI_sup_LL_effect,PubChem,Pr(>Chisq)_overall,InChI.Key.y,Identifier_R,DO_p.value,pH_p.value,pH:DO_p.value,Annotation,KEGG,SMILES,Pr..Chisq._overall,VIP_PLSDA,PLSDA,uniDO,unipH,unipHxDO,method,method_simple
1.55_546.36,BBNHCUBQEQJHIG-FZZJNMCHSA-N,0.0711290693843853,0.23307312800037,0.762519832402758,-0.483226272714211,0.30832437336423,-0.11884129119205,-0.0928093180613733,negligible,-0.820958057782162,0.635339421659415,-0.228097979193047,small,-0.958217717755837,0.502021759369743,-0.868363505303164,large,-1.64357071332368,-0.0931562972826513,52924055,0.102400654971859,BBNHCUBQEQJHIG-FZZJNMCHSA-N,LPC..20.3..1,0.218040484934078,0.0639676156781381,0.328885012580821,LPC (20:3),NA,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O,0.102400654971859,1.54803115781846,PLSDA,NO,NO,NO,PLSDA,PLSDA
16952,JFCQEDHGNNZCLN-UHFFFAOYSA-N,-0.00381833934639531,0.0807714179594825,-0.394702700325517,0.1570569985389,-0.250044493746899,0.43923810596819,0.0070456475062065,negligible,-0.720713668905642,0.734804963918055,-0.170993032222701,negligible,-0.913450614002653,0.571464549557251,0.664227220877505,medium,-0.0833283313377117,1.41178277309272,743,0.105573986177067,JFCQEDHGNNZCLN-UHFFFAOYSA-N,glutaric.acid,0.167881657209904,0.381213383533863,0.176448657092468,glutaric acid,C00489,C(CC(=O)O)CC(=O)O,0.185417998156523,1.79532425242112,PLSDA,NO,NO,NO,PLSDA,PLSDA
1698,JJMDCOVWQOJGCB-UHFFFAOYSA-N,-0.103085517293986,0.061017874328245,0.0333136817065292,0.111020677397796,-0.0599399671150902,0.425766803312071,0.188956358364511,negligible,-0.540422905009179,0.918335621738201,-0.11853621982227,negligible,-0.860292100631086,0.623219660986547,-0.0533973582438943,negligible,-0.781284095036707,0.674489378548918,138,0.866189646590744,JJMDCOVWQOJGCB-UHFFFAOYSA-N,X5.aminovaleric.acid,0.702683619203919,0.622102139416495,0.883868071028549,5-aminovaleric acid,C00431,C(CCN)CC(=O)O,0.0678415433266864,1.98181441065547,PLSDA,NO,NO,NO,PLSDA,PLSDA
4.55_678.51_4.54_700.49,CITHEXJVPOWHKC-UUWRZZSWSA-N,0.735339180121134,0.362208812461368,1.33482094802135,-0.503249215368647,0.297680681444794,-0.14426595640747,-0.690733858314195,medium,-1.43987806567945,0.0584103490510649,-0.244631421195268,small,-0.97510542563203,0.485842583241493,-0.990740987456764,large,-1.7759463529332,-0.205535621980331,5459377,0.0902446608509566,CITHEXJVPOWHKC-UUWRZZSWSA-N,PC..28.0.,0.0864259957482338,0.290613202068568,0.648266783809329,PC (28:0),C00157,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC,0.0902446608509566,1.60595857668298,PLSDA,NO,NO,NO,PLSDA,PLSDA
4.81_792.55_4.82_814.54,GEINPYKZLFHHIL-HEXXMCQTSA-N,0.550160603874954,0.449975060796772,1.35069543624135,-0.0708947948293632,0.22936688686378,-0.410643671506809,-0.386685871540894,small,-1.12121260486317,0.347840861781384,-0.277030767595279,small,-1.00827027382622,0.454208738635663,-1.03393115943079,large,-1.82294567729517,-0.244916641566416,52922342,0.0586063146021591,GEINPYKZLFHHIL-HEXXMCQTSA-N,PC..37.6.,0.0529626480804126,0.0913499047967776,0.455257986927584,PC (37:6),C00157,CCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,0.0586063146021591,1.64978788475605,PLSDA,NO,NO,NO,PLSDA,PLSDA
4.99_768.55,OROZWUJCDDCYAU-IPUAOQJZSA-N,0.520773322220581,0.492628408196659,1.19455109517029,0.432666848955635,-0.0188475887431538,-0.129721261261917,-0.360916371753675,small,-1.09457438723313,0.372741643725775,-0.430336720497364,small,-1.16646890707316,0.305795466078436,-1.01654375818376,large,-1.80400747796084,-0.22908003840669,52922204,0.0795355601277978,OROZWUJCDDCYAU-IPUAOQJZSA-N,PC..35.4.,0.0717284244153911,0.0854519201123862,0.614822259915546,PC (35:4),NA,CCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,0.0795355601277978,1.63626751148415,PLSDA,NO,NO,NO,PLSDA,PLSDA
4939,PVNIIMVLHYAWGP-UHFFFAOYSA-N,0.187762856562649,0.0619143751289357,0.071243769435112,0.75475542960478,-0.137382289457785,1.28679926575106,-0.456122823188444,small,-1.1932821714233,0.281036525046416,-0.225672400595894,small,-0.969130921476688,0.517786120284899,-0.130797602656637,negligible,-0.859332400396132,0.597737195082858,938,0.705372439110133,PVNIIMVLHYAWGP-UHFFFAOYSA-N,nicotinic.acid,0.41367504582289,0.802295141431768,0.458153340396305,nicotinic acid,C00253,C1=CC(=CN=C1)C(=O)O,0.0496203660227256,1.64171181022981,PLSDA,NO,NO,NO,PLSDA,PLSDA
5.54_792.59_5.54_814.57,FAKYQMLQEAQOLK-LHZZQLRFSA-N,0.366716858520643,0.304187341970191,1.07092107935838,-0.163540695453167,0.193449475962268,-0.151537109380782,-0.335534952804977,small,-1.06839496969328,0.397325064083327,-0.239843378122689,small,-0.970212256933039,0.490525500687661,-0.91831017666124,large,-1.69745430566818,-0.139166047654302,53480695,0.0866269010820002,FAKYQMLQEAQOLK-LHZZQLRFSA-N,PC..p.38.5..or.PC..o.38.6..1,0.0707716423987837,0.10632962442937,0.429067804958674,PC (p-38:5) or PC (o-38:6),C00157,CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC,0.0866269010820002,1.54652153582288,PLSDA,NO,NO,NO,PLSDA,PLSDA
104210,QZZGJDVWLFXDLK-UHFFFAOYSA-N,-0.669870429563911,-0.344763369709021,-0.265511423881964,0.295442690922267,0.427341578747504,-0.0225435239966281,0.414103436388311,small,-0.321412078120798,1.14961895089742,0.205499705394254,small,-0.537557580171069,0.948556990959577,0.183110842657874,negligible,-0.546169708007774,0.912391393323523,11197,0.709339952481459,QZZGJDVWLFXDLK-UHFFFAOYSA-N,lignoceric.acid,0.563969412550562,0.966200763774639,0.464319623883869,lignoceric acid,C08320,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O,0.00353353400022615,1.37906292531301,NO,uniDO,NO,NO,uniDO,uni
5.01_890.59,BPUROMFCPFGBOT-ZEGPSQTJSA-N,0.205905156347518,0.000348224727948931,0.549963470090793,-0.684938443468855,-0.199834840083185,-0.656516124336069,-0.325169906248639,small,-1.05772053598035,0.407380723483076,-0.000474904372227728,negligible,-0.728231973127433,0.727282164382977,-0.884867999694566,large,-1.66135396976427,-0.108382029624858,24778982,0.0733845591519027,BPUROMFCPFGBOT-ZEGPSQTJSA-N,PC..40.7.,0.028462249303236,0.317975070261855,0.318907299301742,PC (40:7),C00157,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC,0.0733845591519027,1.30322385899423,NO,uniDO,NO,NO,uniDO,uni
5.08_790.56,QIBZFHLFHCIUOT-NPBIGWJUSA-N,0.235321198509883,0.00465122317334377,0.56200885501182,-0.338536472800529,0.0817596381749368,-0.217485584227445,-0.408521380441511,small,-1.14383020562435,0.326787444741324,-0.00697501079244614,negligible,-0.734734282157489,0.720784260572597,-0.931540158825553,large,-1.71176051094052,-0.15131980671059,6443788,0.0549500237417685,QIBZFHLFHCIUOT-NPBIGWJUSA-N,PC..32.1.,0.0474744707049443,0.344995236147488,0.356694492496658,PC (32:1),C00157,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCC,0.0549500237417685,1.37079858743459,NO,uniDO,NO,NO,uniDO,uni
62247,VQHSOMBJVWLPSR-JVCRWLNRSA-N,0.127881957618925,-0.134804231891851,0.361030193731591,-0.2359311452451,-0.407699079356597,0.50781134159287,-0.199225682036885,negligible,-0.928785838879657,0.530334474805887,0.213989351865063,small,-0.529232243714823,0.95721094744495,-0.400431846599212,small,-1.13544601460428,0.334582321405858,157355,0.295820861396819,VQHSOMBJVWLPSR-JVCRWLNRSA-N,lactitol,0.117012905604753,0.727738106975027,0.341607801430208,lactitol,C13542,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](CO)O)O)O)O)O)O,0.0440354158728579,0.905184927319484,NO,uniDO,NO,NO,uniDO,uni
