analyte,Chisq_overall,Chi Df_overall,Pr(>Chisq)_overall,DO_DenDF,DO_meansq,DO_NumDF,DO_p.value,DO_statistic,DO_sumsq,pH_DenDF,pH_meansq,pH_NumDF,pH_p.value,pH_statistic,pH_sumsq,pH:DO_DenDF,pH:DO_meansq,pH:DO_NumDF,pH:DO_p.value,pH:DO_statistic,pH:DO_sumsq,VIP_PLSDA_VIP_comp6AVG
adenine,5.52911845828794,3,0.13690734722720427,6.271253613950896,146566.5269902371,1,0.10411079650921697,3.608797976087908,146566.5269902371,6.271253614011715,12849.39681047956,1,0.5933138381629512,0.3163810875227865,12849.39681047956,6.271253613637176,14610.663681252736,1,0.5696702482493783,0.3597474444196808,14610.663681252736,1.1069356944860709
adenosine,4.236706773378273,3,0.2370124402364475,55.00000000156964,5795416.161737672,1,0.328887809969422,0.9704261384897063,5795416.161737672,55.000000000796945,16363998.028404322,1,0.1035541046885849,2.740105451235821,16363998.028404322,55.00000000065179,1866689.2564745233,1,0.5783757564051353,0.31257186651763164,1866689.2564745233,1.4664801487153536
alanine,3.4638398421204784,3,0.32548234361025963,6.030492489565647,2069312.5839823587,1,0.9405761182820618,0.006038213085526057,2069312.5839823587,6.0304924902728185,589170984.1455606,1,0.23750784238928738,1.7191892484573603,589170984.1455606,6.030492489171685,402990694.9533166,1,0.3196265002494211,1.1759188565554584,402990694.9533166,1.1613011919350296
arachidic.acid,1.4191603754950393,3,0.7010496429315911,6.21215459067652,209581.14103939856,1,0.8034830812119247,0.06744799527371169,209581.14103939856,6.212154590363713,256766.56448289828,1,0.7831094162968567,0.08263334163465631,256766.56448289828,6.212154590925174,2601359.889833037,1,0.39433346159605887,0.8371769935239461,2601359.889833037,0.587385093962444
arachidonic.acid,2.965398957192292,3,0.39699080002510045,6.238089819340511,1454009.33925827,1,0.9090520948848142,0.014149557983434584,1454009.33925827,6.238089819961281,164587513.1491858,1,0.2508811636030654,1.6016682271392506,164587513.1491858,6.2380898187942195,58348702.32315517,1,0.47859550811739526,0.5678150232520609,58348702.32315517,1.0514080319939971
aspartic.acid,2.1298110433821194,3,0.54590536889592,6.571068269496102,1566377.2212150285,1,0.28949846021732795,1.327136266606453,1566377.2212150285,6.571068269387064,59187.54107768984,1,0.8296087640686675,0.05014751953206438,59187.54107768984,6.571068269319779,44004.349420648614,1,0.8527208184380579,0.03728333584886093,44004.349420648614,0.7926051599080288
behenic.acid,1.8833545880809197,3,0.5969661295437614,54.999999998642544,221480.1270676696,1,0.5504852705373986,0.3608805785660078,221480.1270676696,54.999999999935405,507684.379699247,1,0.3670453858963315,0.82722289850778,507684.379699247,54.999999999753136,348559.36917293275,1,0.4542912859315076,0.5679439888225193,348559.36917293275,1.045369588967539
benzoic.acid,3.2240211659755005,3,0.3583582430111375,6.179221976888901,17779279.966759533,1,0.2855803898149557,1.3661492357365854,17779279.966759533,6.17922197759623,8788830.997699508,1,0.44174764321713844,0.6753285157201772,8788830.997699508,6.179221977136914,3195358.1921776407,1,0.637368651099371,0.2455294117821213,3195358.1921776407,1.271974682316883
beta.alanine,3.4773387535522033,3,0.32371312371004607,55.0000000001419,4797978108.114347,1,0.31119302350380745,1.0447553554249251,4797978108.114347,55.00000000014199,5601167966.743619,1,0.2742376923626573,1.2196492143207736,5601167966.743619,55.0000000001419,4783111458.4067545,1,0.3119368340566581,1.0415181560152476,4783111458.4067545,0.738130565644382
beta.sitosterol,5.873487669851102,3,0.11793020196778278,54.999999999908376,2602497.6609022594,1,0.28023654688778393,1.1892452646134042,2602497.6609022594,54.999999999703974,10157977.660902217,1,0.03559802371880712,4.641820437636274,10157977.660902217,54.99999999990834,1463.1766917297134,1,0.9794644774095131,6.68617681419549e-4,1463.1766917297134,1.067966953925524
butyrolactam.NIST,3.836779104177367,3,0.2796369904927077,54.999999999249525,18792027.55563901,1,0.8195047788422004,0.052567545886511025,18792027.55563901,54.99999999826825,1252981187.7193797,1,0.06650417448771498,3.505004762544041,1252981187.7193797,54.999999998268194,50861088.39774421,1,0.7074809295590874,0.14227536599072407,50861088.39774421,1.2664805499385687
